time,battery_current,soc,solarCurrent,solarVoltage,battery_voltage,solar_power
2.4,19.64126087,32.29373167,2.965025461,28.49625068,12.74310544,84.38387553
2.5,19.87182859,32.293238,2.887348919,29.13269498,12.74205862,84.40363892
2.6,23.88300121,32.29272677,1.492337385,28.18083312,12.73447061,42.00407045
2.7,22.53313083,32.29219233,1.444396538,29.02818974,12.73400948,42.0100265
2.8,23.6692247,32.29164075,1.500272321,27.98455374,12.73113751,41.91065617
2.9,22.74529433,32.29107648,1.431053181,29.20211266,12.73109189,41.90738233
3,23.38351065,32.29050285,1.504798793,27.86072801,12.7295118,41.83808539
3.1,24.87306692,32.28991657,0.752125519,27.3615313,12.7259686,20.55702051
3.2,25.35733295,32.28931565,0.733141992,28.19954427,12.72406575,20.679483
3.3,24.66492277,32.28870389,0.718454194,28.63489839,12.72392023,20.59877591
3.4,24.04604062,32.28808413,0.743668452,27.79082031,12.72395941,20.6571987
3.5,25.18677374,32.28745844,0.750220968,27.46901861,12.72206355,20.58833155
3.6,24.95231612,32.28682724,0.577469894,28.94232313,12.72171423,16.72515786
3.7,25.40933262,32.28619105,0.591999577,28.29721361,12.72072068,16.74658394
3.8,24.57521882,32.28555119,0.585485933,28.62026963,12.72138982,16.75918122
3.9,25.37911308,32.2849086,0.585771142,28.60746403,12.72017456,16.75950453
4,24.70400056,32.284264,0.593716938,28.1993118,12.72080833,16.73499224
0,-1.40625E-09,37.13733075,8.024830487,0.004814898,0,0
0.1,16.53470109,37.13726717,7.961872814,16.36174363,12.82446424,129.3042901
0.2,15.48423752,37.13710652,7.950564204,18.68988284,12.81861495,146.7102712
0.3,14.12215332,37.13688255,7.91285048,21.72785483,12.81584893,168.9461626
0.4,12.67813303,37.1366224,7.561189078,25.76919901,12.81536524,193.0380523
0.5,12.72378464,37.13634531,7.28574226,26.76369026,12.81422528,195.2597141
0.6,12.63277468,37.13605801,7.266510582,26.81827878,12.81354375,195.3044219
0.7,12.65672913,37.13576315,7.266832485,26.81737617,12.81293068,195.3040253
0.8,12.65759591,37.13546273,7.268266814,26.8133498,12.81249702,195.3019288
0.9,12.55148379,37.13515818,7.270232862,26.8078188,12.81230342,195.2986952
1,12.44887598,37.13485058,7.288869978,26.754682,12.81218921,195.263586
1.1,14.67654406,37.13453217,5.9381215,27.16100047,12.80788906,160.7050358
1.2,15.13279996,37.13419834,5.856727706,27.50233163,12.80614919,161.1398159
1.3,14.96562972,37.13385313,5.797041288,27.71983506,12.80546577,161.218828
1.4,14.59277765,37.13349953,5.842713899,27.55555712,12.80526221,161.1793561
1.5,14.5271213,37.1331397,5.92836907,27.20520193,12.80486297,160.8008363
1.6,17.31473984,37.13276578,4.480549087,27.7140784,12.79954466,123.6749835
1.7,17.75907507,37.13237312,4.356848561,28.42923739,12.79755818,124.222899
1.8,16.96694378,37.13196666,4.411189251,28.1489047,12.79744122,124.166194
1.9,17.67052609,37.13154999,4.456650207,27.87606184,12.79581173,123.9046581
2,17.52867658,37.13112578,4.336534166,28.52406415,12.79538629,124.1926984
2.1,20.2663352,37.13068561,2.912088292,28.95435871,12.78989404,84.48119216
2.2,20.49790777,37.13022446,2.943866483,28.69435165,12.78800241,84.47378561
2.3,20.23299643,37.12974784,2.972072529,28.42476095,12.78712653,84.33540291
2.4,19.96399964,37.1292598,2.944189451,28.69149527,12.78655842,84.47297171
2.5,20.2715785,37.12876331,2.922339263,28.87471268,12.78553081,84.49332128
2.6,23.63446515,37.12824931,1.481210393,28.42089484,12.77908033,42.07750467
2.7,22.91439866,37.12771218,1.463534636,28.74096096,12.77815184,42.09285864
2.8,23.50915126,37.12715798,1.48514268,28.34010512,12.77612185,42.05820671
2.9,22.9972777,37.12659115,1.455811129,28.86306721,12.77574784,42.06990113
3,23.43134676,37.12601498,1.489010469,28.25645675,12.77451067,42.03234186
3.1,24.91712662,37.12542618,0.750405099,27.45894389,12.77120479,20.58556039
3.2,25.35732055,37.12482273,0.723262879,28.50522066,12.76952358,20.63597162
3.3,24.15415729,37.12420843,0.732949599,28.20610409,12.77012898,20.67914057
